MS,X,Y,DURACAO_FRAMES,DATE_FIM
241.0,837.0,637.0,5,2022-04-10 14:12:52.519
494.0,894.0,240.0,10,2022-04-10 14:12:53.111
402.0,921.0,138.0,9,2022-04-10 14:12:53.559
125.0,215.0,31.0,3,2022-04-10 14:12:54.404
364.0,990.0,281.0,7,2022-04-10 14:12:55.577
396.0,1006.0,432.0,9,2022-04-10 14:12:56.374
101.0,810.0,480.0,3,2022-04-10 14:12:56.524
382.0,700.0,524.0,9,2022-04-10 14:12:56.965
313.0,801.0,524.0,6,2022-04-10 14:12:57.338
754.0,872.0,435.0,14,2022-04-10 14:12:58.692
104.0,974.0,481.0,3,2022-04-10 14:12:58.858
186.0,562.0,631.0,4,2022-04-10 14:12:59.146
265.0,1012.0,646.0,6,2022-04-10 14:12:59.519
361.0,502.0,587.0,7,2022-04-10 14:13:03.083
553.0,508.0,621.0,11,2022-04-10 14:13:05.815
647.0,899.0,649.0,13,2022-04-10 14:13:06.565
957.0,465.0,643.0,20,2022-04-10 14:13:07.656
188.0,902.0,690.0,5,2022-04-10 14:13:07.944
247.0,1012.0,716.0,5,2022-04-10 14:13:08.232
276.0,956.0,689.0,6,2022-04-10 14:13:08.930
169.0,1186.0,652.0,4,2022-04-10 14:13:09.162
202.0,975.0,617.0,5,2022-04-10 14:13:09.417
493.0,925.0,574.0,11,2022-04-10 14:13:10.048
814.0,1083.0,628.0,16,2022-04-10 14:13:12.010
1751.0,1134.0,579.0,34,2022-04-10 14:13:14.870
4428.0,1235.0,556.0,87,2022-04-10 14:13:19.341
413.0,1086.0,620.0,8,2022-04-10 14:13:19.811
216.0,978.0,512.0,5,2022-04-10 14:13:20.113
1713.0,1150.0,515.0,35,2022-04-10 14:13:21.878
423.0,1152.0,616.0,9,2022-04-10 14:13:22.353
415.0,1043.0,636.0,9,2022-04-10 14:13:22.842
152.0,1216.0,608.0,4,2022-04-10 14:13:23.047
1273.0,1130.0,711.0,26,2022-04-10 14:13:24.367
312.0,1097.0,577.0,7,2022-04-10 14:13:24.744
811.0,1096.0,476.0,15,2022-04-10 14:13:25.606
6402.0,1131.0,546.0,124,2022-04-10 14:13:32.113
2852.0,924.0,623.0,55,2022-04-10 14:13:35.162
301.0,1188.0,550.0,6,2022-04-10 14:13:35.518
1729.0,1149.0,505.0,35,2022-04-10 14:13:38.023
613.0,1056.0,610.0,12,2022-04-10 14:13:38.685
694.0,1061.0,638.0,15,2022-04-10 14:13:45.339
401.0,1069.0,640.0,8,2022-04-10 14:13:46.894
304.0,1062.0,523.0,7,2022-04-10 14:13:47.245
587.0,1163.0,595.0,13,2022-04-10 14:13:47.884
696.0,1060.0,538.0,15,2022-04-10 14:13:48.630
659.0,959.0,532.0,13,2022-04-10 14:13:49.357
178.0,1073.0,487.0,4,2022-04-10 14:13:49.615
137.0,966.0,493.0,4,2022-04-10 14:13:49.807
197.0,751.0,663.0,5,2022-04-10 14:13:52.924
346.0,1062.0,558.0,8,2022-04-10 14:13:53.384
652.0,960.0,572.0,13,2022-04-10 14:13:54.908
529.0,578.0,568.0,11,2022-04-10 14:13:57.368
1039.0,933.0,189.0,19,2022-04-10 14:13:58.477
113.0,678.0,542.0,3,2022-04-10 14:13:58.647
302.0,582.0,652.0,7,2022-04-10 14:13:59.011
396.0,912.0,344.0,8,2022-04-10 14:13:59.458
1537.0,1027.0,702.0,30,2022-04-10 14:14:08.237
4880.0,1175.0,645.0,91,2022-04-10 14:14:18.237
295.0,1157.0,593.0,7,2022-04-10 14:14:19.901
1380.0,1133.0,694.0,28,2022-04-10 14:14:21.326
1084.0,995.0,669.0,21,2022-04-10 14:14:22.458
989.0,1116.0,572.0,20,2022-04-10 14:14:23.869
354.0,1059.0,675.0,8,2022-04-10 14:14:24.283
954.0,1231.0,599.0,18,2022-04-10 14:14:27.014
198.0,1150.0,514.0,5,2022-04-10 14:14:28.152
2487.0,1148.0,636.0,49,2022-04-10 14:14:30.774
393.0,1104.0,627.0,8,2022-04-10 14:14:32.080
2806.0,1128.0,689.0,53,2022-04-10 14:14:35.136
